Rank,Class,ModelYear,Manufacturer,ModelName,VehicleType,Weight,DriveType,Transmission,Gears,FuelDelivery,Horsepower,EngineDisplacement,MPG_City,MPG_Hwy,AvgMPG
Low,Truck,2005,Stellantis,RAM 1500 PICKUP 2WD,Pickup,6000,Rear,Automatic with Lockup,4,Port,500,505,8.2,11.5,9.8
Low,Truck,2006,Stellantis,RAM 1500 PICKUP 2WD,Pickup,6000,Rear,Automatic with Lockup,4,Port,500,505,8.2,11.5,9.8
Low,Truck,2007,Mercedes,G55 AMG,Truck SUV,6000,4wd,Automatic with Lockup,7,Port,493,333,10.8,13.5,12.2
Low,Truck,2008,Mercedes,G55 AMG,Truck SUV,6000,4wd,Automatic with Lockup,5,Port,493,332,10.8,13.5,12.2
Low,Truck,2009,Mercedes,ML63 AMG,Truck SUV,5500,4wd,Automatic with Lockup,7,Port,503,379,10.5,14.4,12.4
Low,Truck,2010,Mercedes,G 55 AMG,Truck SUV,6000,4wd,Automatic with Lockup,5,Port,500,332,10.8,13.6,12.2
Low,Truck,2011,Ford,E150 Van Propane,Minivan/Van,6000,Rear,Automatic with Lockup,4,Port,255,330,6.6,6.7,6.7
Low,Truck,2011,Ford,E150 Wagon Propane,Minivan/Van,6000,Rear,Automatic with Lockup,4,Port,255,330,6.6,6.7,6.7
Low,Truck,2011,Ford,E250 Van Propane,Minivan/Van,5500,Rear,Automatic with Lockup,4,Port,255,330,6.6,6.7,6.7
Low,Truck,2011,Ford,E250 Van Propane,Minivan/Van,6000,Rear,Automatic with Lockup,4,Port,255,330,6.6,6.7,6.7
Low,Truck,2011,Ford,E350 Van Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,6.6,6.7,6.7
Low,Truck,2011,Ford,E350 Wagon Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,6.6,6.7,6.7
Low,Truck,2012,Ford,E150 Van Propane,Minivan/Van,6000,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2012,Ford,E150 Wagon Propane,Minivan/Van,6000,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2012,Ford,E250 Van Propane,Minivan/Van,5500,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2012,Ford,E250 Van Propane,Minivan/Van,6000,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2012,Ford,E350 Van Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2012,Ford,E350 Wagon Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2013,Ford,E150 Wagon Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2013,Ford,E350 Wagon Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2014,Ford,E150 Wagon Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2014,Ford,E350 Wagon Propane,Minivan/Van,6500,Rear,Automatic with Lockup,4,Port,255,330,8.9,9.3,9.1
Low,Truck,2015,GM,G3500 EXPRESS 2WD PASS MDPV,Minivan/Van,7000,Rear,Automatic with Lockup,6,Port,324,366,10.4,15.1,12.7
Low,Truck,2015,GM,G3500 SAVANA 2WD PASS MDPV,Minivan/Van,7000,Rear,Automatic with Lockup,6,Port,324,366,10.4,15.1,12.7
Low,Truck,2016,Mercedes,AMG G65,Truck SUV,6000,4wd,Automatic with Lockup,7,Port,621,365,10.6,13.1,11.9
Low,Truck,2017,Mercedes,G 550 4x4,Truck SUV,7000,4wd,Automatic with Lockup,7,GDI,416,243,10.6,10.9,10.8
Low,Truck,2018,Mercedes,G 550 4x4,Truck SUV,7000,4wd,Automatic with Lockup,7,GDI,416,243,10.6,10.9,10.8
Low,Truck,2019,Mercedes,AMG GLE 63,Truck SUV,6000,4wd,Automatic with Lockup,7,GDI,550,333,9.8,14.3,12
Low,Truck,2019,Mercedes,AMG GLE 63 S,Truck SUV,6000,4wd,Automatic with Lockup,7,GDI,550,333,9.8,14.3,12
Low,Truck,2020,Ford,F150 Pickup 4WD,Pickup,6000,4wd,Automatic with Lockup,10,Port,650,305,10.6,15.2,12.8
Low,Truck,2021,Stellantis,1500 TRX 4x4,Pickup,7000,4wd,Automatic with Lockup,8,Port,707,378,10.4,14.1,12.2
Low,Truck,2022,Stellantis,1500 TRX 4x4,Pickup,7000,4wd,Automatic with Lockup,8,Port,707,378,10.5,14.2,12.3
High,Car,1975,Honda,CIVIC CVCC,Sedan/Wagon,2000,Front,Manual,5,Carb,52,90,25.4,33,28.3
High,Car,1976,Honda,CIVIC CVCC,Sedan/Wagon,2000,Front,Manual,3,Carb,60,91,28.4,33.4,30.5
High,Car,1977,Honda,CIVIC CVCC,Sedan/Wagon,2000,Front,Manual,,Carb,60,91,35.7,40.2,37.6
High,Car,1978,VW,RABBIT,Sedan/Wagon,2250,Front,Manual,4,Diesel,48,90,35.2,40.7,37.5
High,Car,1979,VW,RABBIT,Sedan/Wagon,2250,Front,Manual,5,Diesel,48,90,36.7,42.6,39.1
High,Car,1980,VW,RABBIT,Sedan/Wagon,2250,Front,Manual,5,Diesel,48,90,37.7,44.1,40.3
High,Car,1981,VW,RABBIT,Sedan/Wagon,2250,Front,Manual,4,Diesel,52,97,37.9,45.4,40.9
High,Car,1982,VW,RABBIT,Sedan/Wagon,2250,Front,Manual,4,Diesel,52,97,40.9,45.1,42.7
High,Car,1983,Nissan,NISSAN SENTRA,Sedan/Wagon,2250,Front,Manual,4,Diesel,55,103,43.4,47.8,45.3
